Product,Sub-product,Issue,Sub-issue,Complaint,Company,State,Submitted via,Company response to consumer,Timely response?,Cleaned_Complaint
Credit card,,Identity theft / Fraud / Embezzlement,,"WF CRD SVC ACCOUNT NUMBERs : XXXX XXXX/XXXX/XXXX XXXX XXXX XXXX, XXXX XXXX, IA XXXX Phone : XXXX ATTENTION TO DISPUTE DEPARTMENT : Dear Sir or Madam : I am a victim of identity theft. An identity thief used my personal information without my permission to open an account several account in my name this debt is not mine. I have enclosed proof of my identity and a copy of my Identity Theft Report. In accordance with the Fair Debt Collection Practices Act, I am asking you to stop collection proceedings against me and stop communicating with me about this debt, except as the Fair Credit Reporting Act allows. I also ask that you WF CRD SVC or any company associate with this account # XXXX and tell them the debt is the result of identity theft. I have enclosed a copy of the Federal Trade Commission 's police report Notice to Furnishers of Information. It explains your responsibilities under the Fair Credit Reporting Act ( FCRA ). The FCRA requires that debt collectors give an identity theft victim documents related to an account if the victim asks. Please send me copies of all records relating to the account, including : date account open all sign original contract including : Account applications made on paper, online, or by telephone Account statements or invoices Records of payment or charge slips Delivery addresses associated with the account Records of phone numbers used to activate or access the account Signatures on applications and accounts Investigators report Please send me a letter explaining what you have done to : WF CRD SVC or any company associate with this account that the debt is the result of identity theft Stop collection proceedings against me Stop reporting information about the debt to credit reporting companies Provide me with the records I request Thank you for your cooperation. 
Sincerely, XXXX, XXXX XXXX XXXX XXXX # XXXX XXXX XXXX/XXXX/XXXX ADDRESS XXXX XXXX XXXX XXXX XXXX XXXX, FL XXXX",Wells Fargo & Company,FL,Web,Closed with explanation,Yes,wf crd svc account number xxxx xxxxxxxxxxxx xxxx xxxx xxxx xxxx xxxx ia xxxx phone xxxx attention dispute department dear sir madam victim identity theft identity thief used personal information without permission open account several account name debt mine enclosed proof identity copy identity theft report accordance fair debt collection practice act asking stop collection proceeding stop communicating debt except fair credit reporting act allows also ask wf crd svc company associate account xxxx tell debt result identity theft enclosed copy federal trade commission police report notice furnishers information explains responsibility fair credit reporting act fcra fcra requires debt collector give identity theft victim document related account victim asks please send copy record relating account including date account open sign original contract including account application made paper online telephone account statement invoice record payment charge slip delivery address associated account record phone number used activate access account signature application account investigator report please send letter explaining done wf crd svc company associate account debt result identity theft stop collection proceeding stop reporting information debt credit reporting company provide record request thank cooperation sincerely xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxxxxxxxxxx address xxxx xxxx xxxx xxxx xxxx xxxx fl xxxx
Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,"I am writing to complain that a very important and useful institution that I use may go out of business, and they say it is because the CFPB is interefering. For many years, Nationwide Biweekly Administration took my biweekly payments and transferred them to my mortgage company, which at one time was XXXX Mortgage. When XXXX Mortgage was not properly distributing my funds and I could not get them to respond to me, NBA aided me and the problem was resolved. XXXX has since gone of out business but NBA has been there all along to help. XXXX XXXX is from Ohio, as am I, and I supported him in his elections here, and worked with his own former staff when I was a XXXX at the XXXX XXXX XXXX of Ohio. I was very happy with his success in getting this position in the Obama administration, which I have also supported. However, I am very unhappy with this situation, NBA, located in XXXX, Ohio, has been a great help to people like me who which to have their loans serviced. This is a setback which I do not appreciate. Please consider what you have done in this regard and restore NBA 's ability to work for consumers like me. Thank you. 
","Nationwide Biweekly Administration, Inc",OH,Web,Closed with explanation,Yes,writing complain important useful institution use may go business say cfpb interefering many year nationwide biweekly administration took biweekly payment transferred mortgage company one time xxxx mortgage xxxx mortgage properly distributing fund could get respond nba aided problem resolved xxxx since gone business nba along help xxxx xxxx ohio supported election worked former staff xxxx xxxx xxxx xxxx ohio happy success getting position obama administration also supported however unhappy situation nba located xxxx ohio great help people like loan serviced setback appreciate please consider done regard restore nba ability work consumer like thank
Credit card,,APR or interest rate,,"My Citi credit card is currently under penalty interest. After I made XXXX consecutive timely payments, I contacted Citi to inquire about why my interest rate has not been reduced. I was told that they review accounts every six months in XXXX and XXXX. Upon receiving my most recent statement, penalty interest is still applied to my account despite making XXXX consecutive on time payments. I contacted Citi again today and the Account Rep attempted to reduce my interest rate but the system would n't allow it saying that my account was ineligible. Despite repeated requests to provide information as to a reason why my account was ineligible for an interest rate reduction, the Account Rep was unable to provide any detail. He would state repeatedly that if the system would allow him he would have already and that his recommendation was to make two more timely payments and they could try to reduce the rate again after that. I asked if that meant that XXXX consecutive payments were required for reducing my interest rate or if that meant the system is showing my account as only having XXXX on time payments. The Account Rep denied XXXX only assuring me that he tried to reduce my interest to no avail. I ended the call to file this complaint. My understanding of the CARD Act was that penalty interest is to be removed after XXXX timely payments. To the best of my knowledge, I feel I have completed what is required of me to be cured from this interest rate and will not accept deliberate mistreatment. So, I am filing this complaint in order to expedite a solution and/or provide myself a better understanding of what the law stipulates regarding this issue. Attached is a payment history taken from my Citi account online for the on time payments from XX/XX/XXXX 
",Citibank,PA,Web,Closed with explanation,Yes,citi credit card currently penalty interest made xxxx consecutive timely payment contacted citi inquire interest rate reduced told review account every six month xxxx xxxx upon receiving recent statement penalty interest still applied account despite making xxxx consecutive time payment contacted citi today account rep attempted reduce interest rate system would nt allow saying account ineligible despite repeated request provide information reason account ineligible interest rate reduction account rep unable provide detail would state repeatedly system would allow would already recommendation make two timely payment could try reduce rate asked meant xxxx consecutive payment required reducing interest rate meant system showing account xxxx time payment account rep denied xxxx assuring tried reduce interest avail ended call file complaint understanding card act penalty interest removed xxxx timely payment best knowledge feel completed required cured interest rate accept deliberate mistreatment filing complaint order expedite solution andor provide better understanding law stipulates regarding issue attached payment history taken citi account online time payment xxxxxxxx
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"On XXXX, XXXX XXXX, 2015 at XXXX EDT, a debt collection agency called Enhanced Recovery Company ( ERC ), based out of XXXX XXXX Florida , XXXX tried to contact me with a robocall. The robocall did not address me by name and instead gave me a XXXX number to call and also gave me a XXXX-digit reference number. I did not have a pen handy and the information was given only XXXX before disconnecting. I checked my caller ID and it said "" private number, '' so I had no one to call back and did nothing at the time. I received a XXXX robocall from ERC on XXXX, XXXX XXXX, 2015 at XXXX EDT, this time the XXXX appeared on my caller ID. I was told to call XXXX and given a XXXX-digit reference number. I called the number demanding to know why they 're calling me since I know I do n't owe anybody anything. They asked me if my name was the person they 're trying to collect a debt from. I said no and that I did n't know this person. They apologized and promised to remove my home land line number from their list so presumably they wo n't call me again. 
",ERC,CA,Web,Closed with non-monetary relief,Yes,xxxx xxxx xxxx xxxx edt debt collection agency called enhanced recovery company erc based xxxx xxxx florida xxxx tried contact robocall robocall address name instead gave xxxx number call also gave xxxxdigit reference number pen handy information given xxxx disconnecting checked caller id said private number one call back nothing time received xxxx robocall erc xxxx xxxx xxxx xxxx edt time xxxx appeared caller id told call xxxx given xxxxdigit reference number called number demanding know calling since know nt owe anybody anything asked name person trying collect debt said nt know person apologized promised remove home land line number list presumably wo nt call
Credit reporting,,Incorrect information on credit report,Information is not mine,"THE BUREAU TRANS UNION. HAS XXXX INQUIREIES THAT WERE UNAUTHORIZED. 
COLLECTIONSNOT MINE/XXXX -PAID IN FULLXXXX XXXX-NOT MINEXXXX XXXX -NOT MINE 
","TransUnion Intermediate Holdings, Inc.",NM,Web,Closed with explanation,Yes,bureau trans union xxxx inquireies unauthorized collectionsnot minexxxx paid fullxxxx xxxxnot minexxxx xxxx mine
Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"To Whom It May Concern : I am writing to formally request escalated assistance with my file. I do n't believe anyone thus far at SPS has properly handled my file. I became XXXX in XXXX as I was in an accident XXXX. I entrusted my brother to make my mortgage payments for me with my fixed income and he did not do that ; instead pocketed my money. If I had n't been XXXX, I would have never become behind at all. 

Seconly, I am disputing the erroneous information contained in SPS ' most recent denial letter dated XXXX/XXXX/XXXX, stating my property value is currently {$430000.00}. My property is nowhere near worth that amount and I have attached my own appraisal showing the true value of {$310000.00}, which I paid for from my own funds because I believe so highly that SPS is using an extremely inflated property valuation. I would truly appreciate it if somebody could formally re-review my package using the correct value of {$310000.00}. It should also be noted that I had sent this appraisal with my resubmission packet back in XXXX XXXX, but it seems that it was disregarded by SPS completely. I XXXX have spent money on this that I am trying to save for my mortgage if I get approved. It was hard for me to do so I would appreciate it being correctly reviewed. Please let my advocate team consisting of XXXX XXXX and/or XXXX XXXX at XXXX XXXX know if you need any further information. SPS has this information on file already, but just in case, I am again attaching my written authorization to speak with them regarding this matter. I am XXXX and it is sometimes hard for me to get out to a fax to send documents that they may already have on hand. Thank you for your attention to this matter. 
Sincerely, XXXX XXXX 
","Select Portfolio Servicing, Inc",CA,Web,Closed with explanation,Yes,may concern writing formally request escalated assistance file nt believe anyone thus far sps properly handled file became xxxx xxxx accident xxxx entrusted brother make mortgage payment fixed income instead pocketed money nt xxxx would never become behind seconly disputing erroneous information contained sps recent denial letter dated xxxxxxxxxxxx stating property value currently property nowhere near worth amount attached appraisal showing true value paid fund believe highly sps using extremely inflated property valuation would truly appreciate somebody could formally rereview package using correct value also noted sent appraisal resubmission packet back xxxx xxxx seems disregarded sps completely xxxx spent money trying save mortgage get approved hard would appreciate correctly reviewed please let advocate team consisting xxxx xxxx andor xxxx xxxx xxxx xxxx know need information sps information file already case attaching written authorization speak regarding matter xxxx sometimes hard get fax send document may already hand thank attention matter sincerely xxxx xxxx
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"I have a loan with XXXX XXXX at XXXX XXXX XXXX XXXX. Pa. XXXX Their phone # is XXXX. XX/XX/XXXX I have received a message EVERYDAY on my home phone from XXXX at XXXX. His message varied about wanting to increase the loan and also stating I have not made my XX/XX/XXXX payment on time. Since I have auto pay with my bank and have never missed a payment to anyone in my life -- I basically ignore the calls. They continue. On XX/XX/XXXX I call XXXX. He says I did n't make my XX/XX/XXXX payment. I go online while he is on the phone and find the payment and and the picture of the check and stamp from XXXX. He does n't believe me-so I have to fax a copy of the cashed check to him. Then INCREDIBLY I get home and he AGAIN is on my home phone message saying that I have to now send a copy of my bank statement to show my bank took the money out of my account. I find that unbelievable but I complied. I have now sent by mail a copy of my bank statement with the check number and showing the bank cashed the check. XXXX calls ( Ihave all the messages ) -then a fax of the cashed check ( still not enough ) and finally I have to send my private bank statement to hopefully stop this harassment!!!! This co. and this employee need to be kept in check. Absolute harassment to make someone prove they paid you after I send them a copy of the check they cashed!!! 
","OneMain Financial Holdings, LLC",PA,Web,Closed with explanation,Yes,loan xxxx xxxx xxxx xxxx xxxx xxxx pa xxxx phone xxxx xxxxxxxx received message everyday home phone xxxx xxxx message varied wanting increase loan also stating made xxxxxxxx payment time since auto pay bank never missed payment anyone life basically ignore call continue xxxxxxxx call xxxx say nt make xxxxxxxx payment go online phone find payment picture check stamp xxxx nt believe meso fax copy cashed check incredibly get home home phone message saying send copy bank statement show bank took money account find unbelievable complied sent mail copy bank statement check number showing bank cashed check xxxx call ihave message fax cashed check still enough finally send private bank statement hopefully stop harassment co employee need kept check absolute harassment make someone prove paid send copy check cashed
Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,"My home has been stolen by Wells Fargo Bank N.A . but XXXX XXXX XXXX XXXX has fraudulently used XXXX and XXXX XXXX law firm ( out of XXXX XXXX Arkansas ) to foreclose on my home. XXXX XXXX XXXX XXXX signed as the attorney in fact for Wells Fargo NA Bank on a substitute trustee filed in XXXX XXXX, TN registry of deeds. Wells Fargo has foreclosed on my home and sold it back to themselves. They never sent me XXXX bill nor responded to any of my legal requests. 
",Ocwen,TN,Web,Closed with explanation,Yes,home stolen well fargo bank na xxxx xxxx xxxx xxxx fraudulently used xxxx xxxx xxxx law firm xxxx xxxx arkansas foreclose home xxxx xxxx xxxx xxxx signed attorney fact well fargo na bank substitute trustee filed xxxx xxxx tn registry deed well fargo foreclosed home sold back never sent xxxx bill responded legal request
Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,"I have been receiving harassing phone calls from Navient. They claim they 're calling to collect a student loan debt, but I am in school and all of my loans are in deferment. I have also asked them repeatedly to stop calling my cell phone, but they refuse to stop. I was also advised today by a representative that they will continue to call me and there was nothing I can do about it. They call me everyday at least XXXX times a day, and I can not deal with it. I have tried blocking the numbers they call from on my iPhone, but the calls continue. 
","Navient Solutions, Inc.",GA,Web,Closed with explanation,Yes,receiving harassing phone call navient claim calling collect student loan debt school loan deferment also asked repeatedly stop calling cell phone refuse stop also advised today representative continue call nothing call everyday least xxxx time day deal tried blocking number call iphone call continue
Bank account or service,Checking account,Using a debit or ATM card,,"I am a current victim of Identity Fraud through use of my USAA internet checking account. I have received over {$46000.00} in banking fees and fraudulent checks and purchases made through debit purchases and funds transfers. I initially received a returned check in the amount of {$4800.00} drawn on XXXX XXXX XXXX in XXXX, payable to my name, and deposited into my bank account. -USAA offers deposit at home for some of their banking members. - This check was clearly deposited at home, and cleared by USAA. Once this check cleared, the individual decided to open numerous accounts in my name and expediting debit cards ( which the XXXX rep informed me of ). I asked for the address the cards were sent to and all she could give me was my address, that seems weird. The cards were activated and the individual immediately proceeded to make purchases. From XX/XX/XXXX-XX/XX/XXXX, about XXXX transactions were made, all in XXXX, and I live in XXXX. Many of the transactions were for the same dollar amounts indicating the same purchases. XXXX transactions at XXXX different XXXX XXXX of which were the same day, XXXX transactions at XXXX on the same day, and the rest of the transactions were debits at XXXX XXXX and XXXX XXXX. I have contacted USAA about this on 3 separate occasions with no resolve. I reached out initially when I received the returned check, informed them of situation, and was advised the account would be closed and I could never open another account. However, the damage was already done. I called again once I received numerous returned NSF statements and banking transactions. I was told someone would follow up with me, about this and advise further. Again no resolve. A month later I received a statement of collection in reference to these accounts. I immediately called USAA again to find out what is going on. What I found out, was : This person open numerous accounts online or on the phone, had each atm debit card was expedited to him, and began immediately transferring money. I spoke with this rep for at least an hour, explaining and going over every single detail. I also requested from her an email to follow up and confirm that conversation, which I have yet to receive. The XXXX most evident things, he has to be familiar with USAA processes to know what to do to open account or how to use deposit at home. I have had my savings account for over a year or so and have NEVER had more than {$100.00} in there, now I am randomly opening accounts and depositing checks. I have NEVER deposited any type of checks with USAA. And I suddenly just randomly open checking account after checking account with no RED flags from the bank. Does not make any sense, but shows the obvious flaws in USAA 's online banking. I decided to drive to the closest physical location which is an hour away. I attempted to speak to someone on person, pretty much received the same response I did on the phone. I was told I will receive a respond in XXXX business days. My next attempt is to seek counseling from an attorney, because USAA is obviously not concerned about resolving this issue. 
",USAA Savings,VA,Web,Closed with explanation,Yes,current victim identity fraud use usaa internet checking account received banking fee fraudulent check purchase made debit purchase fund transfer initially received returned check amount drawn xxxx xxxx xxxx xxxx payable name deposited bank account usaa offer deposit home banking member check clearly deposited home cleared usaa check cleared individual decided open numerous account name expediting debit card xxxx rep informed asked address card sent could give address seems weird card activated individual immediately proceeded make purchase xxxxxxxxxxxxxxxx xxxx transaction made xxxx live xxxx many transaction dollar amount indicating purchase xxxx transaction xxxx different xxxx xxxx day xxxx transaction xxxx day rest transaction debit xxxx xxxx xxxx xxxx contacted usaa separate occasion resolve reached initially received returned check informed situation advised account would closed could never open another account however damage already done called received numerous returned nsf statement banking transaction told someone would follow advise resolve month later received statement collection reference account immediately called usaa find going found person open numerous account online phone atm debit card expedited began immediately transferring money spoke rep least hour explaining going every single detail also requested email follow confirm conversation yet receive xxxx evident thing familiar usaa process know open account use deposit home saving account year never randomly opening account depositing check never deposited type check usaa suddenly randomly open checking account checking account red flag bank make sense show obvious flaw usaa online banking decided drive closest physical location hour away attempted speak someone person pretty much received response phone told receive respond xxxx business day next attempt seek counseling attorney usaa obviously concerned resolving issue
